user:[22, 31, 17, 24, 9, 30, 39, 45, 47, 14, 3, 1, 11, 43, 19, 21]
selected sites ID:6,26,27,0,42
Formulation_explanation:The meaning of the formula is: minimize the total cost associated with idle vehicles at each supply node and their allocation cost to demand regions. This objective function considers the cost of keeping idle vehicles with different SOC levels and the cost of allocating these vehicles to different demand regions. This ensures that the operator manages the fleet in a cost-effective manner, reducing idle time and optimizing allocations.
temp_text:model.setObjective(gp.quicksum(I[S.index(i)][K.index(k)] * (w[S.index(i)][D.index(j)] + gp.quicksum(model.getVarByName(f'cluster{i}_cluster{j}_{k}') for j in D)) for i in S for j in D for k in K), GRB.MINIMIZE)
LEO_optimize_time:91.24012804031372
LEO_result:[7.015647205622956, -760493.4789101417]
base_optimize_time:200.33937406539917
base_result:[4.068204749760137, -838889.2484138878]
Optimization gap 1: 72.45%
Optimization gap 2: 9.35%
caculate expression: sum((k+1) * (I[S.index(i)][K.index(k)] - sum(model.getVarByName(f'cluster{i}_cluster{j}_{k}').X for j in D)) for i in S for k in K)
LEO Model Variables and Values:
cluster0_cluster4_0 = 0.0
cluster0_cluster4_1 = 0.0
cluster0_cluster4_2 = 0.0
cluster0_cluster7_0 = 0.0
cluster0_cluster7_1 = 0.0
cluster0_cluster7_2 = 0.0
cluster0_cluster12_0 = 0.0
cluster0_cluster12_1 = 0.0
cluster0_cluster12_2 = 0.0
cluster0_cluster15_0 = 0.0
cluster0_cluster15_1 = 0.0
cluster0_cluster15_2 = 0.0
cluster0_cluster37_0 = 0.0
cluster0_cluster37_1 = 0.0
cluster0_cluster37_2 = 0.0
cluster0_cluster38_0 = 0.0
cluster0_cluster38_1 = 0.0
cluster0_cluster38_2 = 0.0
cluster0_cluster44_0 = 0.0
cluster0_cluster44_1 = 0.0
cluster0_cluster44_2 = 0.0
cluster0_cluster49_0 = 0.0
cluster0_cluster49_1 = 0.0
cluster0_cluster49_2 = 0.0
cluster1_cluster4_0 = 13.0
cluster1_cluster4_1 = 4.0
cluster1_cluster4_2 = 1.0
cluster1_cluster7_0 = -0.0
cluster1_cluster7_1 = 2.0
cluster1_cluster7_2 = -0.0
cluster1_cluster12_0 = -0.0
cluster1_cluster12_1 = -0.0
cluster1_cluster12_2 = 0.0
cluster1_cluster15_0 = -0.0
cluster1_cluster15_1 = -0.0
cluster1_cluster15_2 = 2.0
cluster1_cluster37_0 = -0.0
cluster1_cluster37_1 = 18.0
cluster1_cluster37_2 = -0.0
cluster1_cluster38_0 = -0.0
cluster1_cluster38_1 = 2.0
cluster1_cluster38_2 = 0.0
cluster1_cluster44_0 = -0.0
cluster1_cluster44_1 = -0.0
cluster1_cluster44_2 = 31.000000000000004
cluster1_cluster49_0 = -0.0
cluster1_cluster49_1 = -0.0
cluster1_cluster49_2 = 5.9999999999999964
cluster2_cluster4_0 = -0.0
cluster2_cluster4_1 = 21.000000000000025
cluster2_cluster4_2 = 138.99999999999997
cluster2_cluster7_0 = -0.0
cluster2_cluster7_1 = 9.999999999999941
cluster2_cluster7_2 = 14.0
cluster2_cluster12_0 = -0.0
cluster2_cluster12_1 = 8.0
cluster2_cluster12_2 = 16.000000000000004
cluster2_cluster15_0 = -0.0
cluster2_cluster15_1 = 35.00000000000001
cluster2_cluster15_2 = 75.0
cluster2_cluster37_0 = -0.0
cluster2_cluster37_1 = 45.0
cluster2_cluster37_2 = 7.0
cluster2_cluster38_0 = -0.0
cluster2_cluster38_1 = -0.0
cluster2_cluster38_2 = 14.0
cluster2_cluster44_0 = -0.0
cluster2_cluster44_1 = 31.0
cluster2_cluster44_2 = -0.0
cluster2_cluster49_0 = -0.0
cluster2_cluster49_1 = 13.0
cluster2_cluster49_2 = 6.999999999999999
cluster3_cluster4_0 = 1.0
cluster3_cluster4_1 = 0.0
cluster3_cluster4_2 = -0.0
cluster3_cluster7_0 = -0.0
cluster3_cluster7_1 = -0.0
cluster3_cluster7_2 = -0.0
cluster3_cluster12_0 = 0.0
cluster3_cluster12_1 = -0.0
cluster3_cluster12_2 = 0.9999999999991682
cluster3_cluster15_0 = -0.0
cluster3_cluster15_1 = -0.0
cluster3_cluster15_2 = -0.0
cluster3_cluster37_0 = -0.0
cluster3_cluster37_1 = -0.0
cluster3_cluster37_2 = 2.0000000000008322
cluster3_cluster38_0 = -0.0
cluster3_cluster38_1 = -0.0
cluster3_cluster38_2 = 1.0
cluster3_cluster44_0 = -0.0
cluster3_cluster44_1 = -0.0
cluster3_cluster44_2 = -0.0
cluster3_cluster49_0 = -0.0
cluster3_cluster49_1 = 2.0
cluster3_cluster49_2 = -0.0
